GeneID,GSM4459880,GSM4459881,GSM4459882,GSM4459885,GSM4459886,GSM4459887
2903,0.21,0.1479,0.2549,0.3758,0.1769,0.2224
105371077,0.05021,0.02681,0.03208,0.1022,0.1808,0.06859
105371076,0,0,0,0,0,0
107984900,0.1341,0.1652,0.1318,0.09687,0.15,0.193
105371078,0.3461,0.2132,0.2835,0.3126,0.166,0.1186
80063,1.099,1.037,0.9001,1.072,1.128,1.039
107984877,0.08849,0,0.1256,0.03463,0.09193,0.1576
106144584,0,0,0,0.04707,0,0
2013,0.8088,0.7558,1.176,2.599,1.014,1.698
146279,0.05002,0.04291,0.05325,0.1174,0.05196,0.05569
105371079,0,0,0,0.0264,0,0
4682,9.154,10.02,9.713,8.798,9.456,9.131
780776,2.02,1.848,2.102,2.459,2.223,2.607
105371080,0.01137,0.01951,0.05446,0.08675,0.07086,0.03544
4261,0.4885,0.522,0.549,0.5392,0.5085,0.5148
112267907,0.06958,0.06633,0.07407,0.2723,0.1566,0.1653
28955,8.591,10.24,11.59,11.52,10.54,10.88
23274,7.083,7.115,7.06,6.729,6.966,6.415
105371081,0.04734,0.04333,0.0504,0.03335,0.1574,0.05061
107984859,0.2688,0.1691,0.2718,0.2209,0.2304,0.2334
105371082,0,0.01005,0.009349,0.01374,0.009123,0.005215
8651,0.2627,0.2818,0.6469,2.352,0.6142,0.512
7142,0,0,0.06869,0,0,0
58531,0,0,0,0,0,0
5620,0,0,0,0,0,0
5619,0,0,0,0,0,0
100313773,0,0,0,0,0,0
105371083,0,0,0.02973,0,0.02901,0
116028,0.2064,0.5195,0.3223,0.8724,0.2574,0.7233
400499,0.07633,0.1617,0.3461,0.3684,0.119,0.2002
101927131,0.01752,0.03006,0.06527,0.04113,0.009099,0.007802
9516,11.61,9.661,12.18,18.37,15.84,15.23
107984880,0,0,0,0,0,0
8303,53.51,55.04,57.13,53,58.26,61.46
51061,16.98,16,14.04,16.1,16.5,15.04
29066,13.17,11.56,10.74,11.62,11.51,13.72
400500,0.0152,0,0.04854,0.01784,0.04736,0.01354
26156,20.01,20.32,22.21,22.74,19.99,21.82
105371084,4.674,5.215,5.367,4.732,4.39,4.398
2935,12.51,11.77,11.96,11.38,10.98,13.62
112268177,0.143,0.0857,0.145,0.1839,0.1627,0.1395
729978,1.239,1.129,1.339,1.263,1.272,1.224
608,0.02241,0.05128,0,0.05262,0,0.03993
92017,7.408,7.257,6.076,7.262,7.242,6.547
642696,0.01282,0,0.09552,0.01505,0.02663,0.01142
101927227,0.07355,0,0,0.1295,0.03821,0.03276
105371087,0.007575,0.008666,0.01613,0.05336,0.07083,0.0135
105371085,0.03241,0.0346,0.07361,0.1497,0.09877,0.05967
105371088,0.1801,0.1472,0.274,0.1208,0.05347,0.1375
55313,2.149,2.428,1.935,2.438,1.965,2.366
100616195,0,0,0,0,0,0
105371090,0.05351,0.07142,0.05697,0.01047,0,0.01589
105371089,0.1276,0.07298,0,0.07489,0.03314,0.1137
729993,1.444,1.21,1.245,1.066,0.98,1.088
105371092,0,0,0.01046,0,0,0.01751
105371091,0,0,0,0,0,0
107984137,0.01059,0,0.03382,0.01243,0,0.009432
105371093,0,0,0,0,0,0
2072,3.329,3.341,2.722,2.959,2.743,3.047
101927311,0,0,0,0,0,0
101927348,0,0.7485,0,0,0,0
57496,2.268,2.061,2.536,2.416,2.104,2.293
100189086,0,0,0,0.3256,0,0
100129781,0.245,0.3083,0.4174,0.1726,0.4073,0.3274
574455,0,0,0,0,0,0
100126355,0,0,0.2444,0,0,0
105447648,0,0.0441,0,0,0,0
5073,6.037,5.928,5.73,5.72,5.767,6.062
105371094,0,0.01253,0,0.01286,0.01138,0
107984865,0.03734,0.03204,0.07951,0.03288,0.05819,0.04574
51283,24.57,24.94,21.27,21.9,22.52,22.52
8399,0.3777,0.3902,0.4021,0.2431,0.3038,0.293
105371095,0.01081,0.02472,0.0115,0.01268,0.02245,0.02888
642778,1.99,2.067,2.679,1.816,1.9,1.753
100652777,0.1665,0.1524,0.266,0.2737,0.1557,0.1187
105376747,0,0.01339,0.01246,0.01374,0.02432,0.02085
642799,2.298,2.31,3.176,2.125,2.223,2.243
105376749,0.1939,0.1848,0.3096,0.3035,0.235,0.1727
730013,0.4213,0.3213,0.3588,0.4616,0.2334,0.4503
23420,26.6,24.61,29.03,26.32,25.06,22.34
101927469,0.7695,0.4401,0.6964,0.2258,0.2598,0.2913
100422960,0.4754,0.2719,0.2531,0.2791,0.247,0.2118
100500910,0,0,0,0,0,0
100422870,0.2124,0.243,0.2262,0,0,0
109951030,18.14,17.05,21.87,15.25,17.09,16.76
100288162,9.502,9.023,11.1,8.431,9.679,9.506
102466268,0,0,0,0,0,0
102465461,0,0.7614,0.3543,0,0.3458,0
9284,12.91,13.17,14.81,12.22,13.13,13.13
23042,17.88,17.42,18.54,17.12,16.72,13.54
100302243,0,0.2967,0,0,0.2694,0.462
123803,4.359,3.98,4.682,5.579,4.746,4.982
54700,23.2,20.92,21.64,19.6,19.99,21.64
100505915,1.53,1.917,2.242,1.787,1.709,1.554
105369154,17.73,16.05,21.98,17.97,20.13,19.72
102465985,0,0,0,0,0,0.2505
100500852,0.1305,0.4479,0.2779,0.7661,0.5424,0.2325
105371096,0,0,0,0,0,0.0125
105371097,0,0,0,0,0,0
107987241,0,0,0,0,0,0
105371103,0.1026,0.1173,0.2184,0.2408,0.1421,0.1828
100288332,8.086,9.147,9.698,6.301,6.295,6.445
255027,1.589,1.758,1.386,1.941,2.079,1.717
89927,35.95,38.87,56.6,41.72,38.79,41.79
105371102,0.03205,0,0.03412,0.07525,0.0999,0.1428
9665,14.89,13.32,14.69,12.87,13.13,14.39
102465252,32.37,23.88,24.8,23.44,24.52,26.95
54820,1.236,1.186,1.249,1.776,1.356,1.452
619553,0.2528,0,0,0,0,0.2252
4629,0.1868,0.1841,0.1652,0.3238,0.197,0.2073
123811,10.74,11.44,9.685,8.756,8.714,9.233
107984869,0.01783,0.0204,0.01898,0,0.01852,0.01588
4363,13.37,13.14,13.81,13.47,12.38,11.81
368,0.4222,0.4689,0.4003,0.3111,0.2401,0.302
105371100,0.05651,0.0431,0.06017,0.06634,0.03914,0
408050,23.61,21.89,24.59,16.75,15.95,14.25
105371099,1.22,1.064,1.411,1.113,1.103,0.9774
100422886,0.4754,0.2719,0.5062,0.2791,0.247,0.2118
100846994,0,0,0,0,0,0
100422956,0.2269,0.2596,0.2416,0,0,0
339044,28.96,28.22,34.83,26.67,29.84,29.39
102466812,0,0,0,0,0,0
102465908,0,0.3807,0,0,0.3458,0
102465683,0.298,0,0,0,0,0
101059938,7.346,7.741,10.39,7.873,7.671,8.676
105371098,0.2391,0.1368,0.191,0.3509,0.1863,0.1065
105371105,0,0,0,0,0,0
64131,9.038,8.05,8.084,7.173,9.532,6.531
102723692,4.734,4.626,4.272,4.122,5.341,3.77
107987234,0.05876,0.0192,0.07596,0.04927,0.1003,0.03365
105371106,0.03801,0.1015,0.04047,0.1041,0.09214,0
107984893,0,0.0427,0.03974,0,0,0.133
105371108,0,0,0,0,0,0.01116
105376751,0,0,0,0,0,0
105376753,0.1794,0.2052,0.5092,0.9124,0.3106,0.3195
110006323,15.07,14.62,18.69,17.55,20.58,19.05
101059953,5.345,5.879,6.498,5.216,5.645,5.548
102465684,0,0,0,0,0,0
110006322,10.46,10.01,12.81,13.25,14.96,14.28
102466259,0,0.3807,0.3543,0,0,0
112268172,0.2092,0.1994,0.2475,0.1774,0.1449,0.1346
100422836,0.2124,0.243,0.2262,0,0,0
103504726,0,0,0,0,0,0
100423006,0.7132,1.088,0.5062,0.5581,0.247,0.4235
102723728,26.21,23.52,28.04,22.48,21.62,19.43
